OD;AUTOR;UO;NUMERO;CODACAO;NOMEACAO;SUBACAO;GD;MA;MUNICIPIO;OBJETO;VALOR;EMALTERACAO;INSTRUMENTO
O;Dep. Abimael Santos;Secretaria de Defesa Social - Administração Direta;80013;333;Reaparelhamento Operacional das Unidades de Segurança;ENQW;44;41;Santa Cruz do Capibaribe;A presente Emenda no valor de R$ 200.000,00 (duzentos mil reais), destina-se a Prefeitura Municipal de Santa Cruz do Capibaribe, CNPJ  nº 10.091.569/0001-63, para ser aplicada pela Secretaria de Defesa Social do Município de Santa Cruz do Capibaribe, no reaparelhamento da Guarda Municipal e Agentes de Trânsito.;200000;SIM;
D;Dep. Abimael Santos;Secretaria de Planejamento, Gestão e Desenvolvimento Regional - Administração Direta;90033;4424;Transferências especiais;ENTP;44;40;Santa Cruz do Capibaribe;Transferência Especial.;200000;SIM;
O;Dep. Adalto Santos;Fundo Estadual de Saúde - FES-PE - Administração Direta;55;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;EM9E;33;50;Recife;Custeio para ampliação dos atendimentosemoftalmologia e reabilitação para usuários do SUS em Pernambuco, comoinstituição beneficiária a FUNDAÇÃO ALTINO VENTURA, CNPJ10.667.814/0001-38, CNES Nº 0000485.;1000000;SIM;
D;Dep. Adalto Santos;Fundo Estadual de Saúde - FES-PE - Administração Direta;90058;3126;Aquisição de Medicamentos e Insumos Farmacêuticos;ENTQ;33;50;Recife;Custeio para ampliação dos atendimentos em oftalmologia e reabilitação para usuários do SUS em Pernambuco, como instituição beneficiária a FUNDAÇÃO ALTINO VENTURA, CNPJ10.667.814/0001-38, CNES Nº 0000485.;1000000;SIM;
O;Dep. Adalto Santos;Fundo Estadual de Saúde - FES-PE - Administração Direta;1060;4553;Construção, Ampliação, Reforma e Equipagem de Unidades de Saúde;EN01;44;20;Recife;RECURSO ENCAMINHADO PARA HOSPITAL DAS CLINICAS DA UFPE, CNPJ: 15.126.437/0016-20 PARA AQUISIÇÃO DE 03 (TRÊS) APARELHOS DE ULTRASSONOGRAFIA.;500000;SIM;
D;Dep. Adalto Santos;Fundo Estadual de Saúde - FES-PE - Administração Direta;90067;3126;Aquisição de Medicamentos e Insumos Farmacêuticos;ENTR;33;41;Toritama;A presente emenda tem como finalidade aquisição de material de uso único (insumos gerais, insumos hospitalares e medicamentos) para apoiar e garantir os trabalhos desenvolvidos pelo HOSPITAL MUNICIPAL NOSSA SENHORA DE FÁTIMA, localizado no município de Toritama, CNES Nº: 2631180, CNPJ DO FUNDO MUNICIPAL DE SAÚDE Nº 11.073.548/0001-88.;500000;SIM;
O;Dep. Alberto Feitosa;Fundo Estadual de Saúde - FES-PE - Administração Direta;1069;4611;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Complementar;EN0A;33;50;Recife;Emenda destinada para apoiar e garantir a ampliação dos atendimentos em oftamologia e reabilitação para usuários do SUS em Pernambuco  pela Fundação Altino Ventura - CNPJ 10.667.814/0001-38;250022;SIM;
D;Dep. Alberto Feitosa;Fundo Estadual de Saúde - FES-PE - Administração Direta;90054;3126;Aquisição de Medicamentos e Insumos Farmacêuticos;ENTS;33;50;Recife;Emenda destinada para apoiar e garantir a ampliação dos atendimentos em oftamologia e reabilitação para usuários do SUS em Pernambuco pela Fundação Altino Ventura como insumos e medicamentos- CNPJ 10.667.814/0001-38;250022;SIM;
O;Dep. Alberto Feitosa;Fundação do Patrimônio Histórico e Artístico de Pernambuco - FUNDARPE;1093;4117;Difusão e Fruição da Cultura;EN0Y;33;50;Brejo da Madre de Deus;Resgatar a Arte da Cantaria, incentivando a perpetuação das técnicas para jovens artesãos, conservando e divulgando as obras de artes para fomento do turismo da região através da Associação dos Artesãos Escultores de Brejo da Madre de Deus - CNPJ 23.864.865/0001-00.;100022;SIM;
D;Dep. Alberto Feitosa;Fundação do Patrimônio Histórico e Artístico de Pernambuco - FUNDARPE;90077;4117;Difusão e Fruição da Cultura;ENTT;44;50;Brejo da Madre de Deus;Reforma e requalificação das áreas de trabalho dos escultores e construção de Galpão-Escola para promoção de oficinas para jovens artesãos, da cidade de Brejo da Madre de Deus - PE, com o intuito de resgatar a Arte da Cantaria e perpetuação das técnicas, através da Associação dos Artesãos Escultores de Brejo da Madre de Deus - CNPJ 23.864.865/0001-00.;100022;SIM;
