OD;AUTOR;UO;NUMERO;CODACAO;NOMEACAO;SUBACAO;GD;MA;MUNICIPIO;OBJETO;VALOR;EMALTERACAO;INSTRUMENTO
O;Dep. Sileno Guedes;Secretaria de Assistência Social, Combate à Fome e Políticas sobre Drogas - Administração Direta;40055;2013;Implantação e Reforma dos Equipamentos e Serviços Sociais;ENI9;33;50;Caruaru;A presente emenda tem por objetivo a destinação de recursos para aquisição de equipamentos de apoio ao desenvolvimento de jovens e adultos voltados ao mercado de trabalho, através da Associação dos Moradores e Comerciantes do Sítio Bananas e Jardim Boa Vista Carurau -PE, CNPJ 40.975.010/0001-67;10000,0;SIM;
O;Dep. Waldemar Borges;Secretaria de Assistência Social, Combate à Fome e Políticas sobre Drogas - Administração Direta;386;2013;Implantação e Reforma dos Equipamentos e Serviços Sociais;EMHV;44;50;Recife;A presente emenda será destinada a entidade INSTITUTO DOM HELDER CÂMARA - IDH CNPJ: 08.799.272/0001-05, no valor R$ 50.000,00 (cinquenta mil reais) para conservação e manutenção do MEMORIAL HELDER CÂMARA, localizado na Cidade do Recife.;50000,0;SIM;
O;Dep. Fabrízio Ferraz;Fundo Estadual de Saúde - FES-PE - Administração Direta;677;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;EMPL;33;41;Jatobá;Destina-se para reforçar as ações do Fundo Municipal de Saúde de Jatobá na Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar;250000,0;SIM;
O;Dep. Henrique Queiroz Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;60031;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENMU;33;41;Gameleira;A EMENDA VISA O CUSTEIO DE PROCEDIMENTOS DE MÉDIA E ALTA COMPLEXIDADE PELAS UNIDADES DE SAÚDE DO MUNICIPIO.;300000,0;SIM;
O;Dep. Henrique Queiroz Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;70021;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENP6;33;41;Ribeirão;A EMENDA VISA O CUSTEIO DE PROCEDIMENTOS DE MÉDIA E ALTA COMPLEXIDADE PELAS UNIDADES DE SAÚDE DO MUNICIPIO.;300000,0;SIM;
O;Dep. Henrique Queiroz Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;70022;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENP7;33;41;Araripina;A EMENDA VISA O CUSTEIO DE PROCEDIMENTOS DE MÉDIA E ALTA COMPLEXIDADE PELAS UNIDADES DE SAÚDE DO MUNICIPIO.;100000,0;SIM;
O;Dep. Henrique Queiroz Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;70023;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENP8;33;41;Exú;A EMENDA VISA O CUSTEIO DE PROCEDIMENTOS DE MÉDIA E ALTA COMPLEXIDADE PELAS UNIDADES DE SAÚDE DO MUNICIPIO.;200000,0;SIM;
O;Dep. Henrique Queiroz Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;70024;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENP9;33;41;Exú;A EMENDA VISA O CUSTEIO DE PROCEDIMENTOS DE MÉDIA E ALTA COMPLEXIDADE PELAS UNIDADES DE SAÚDE DO MUNICIPIO.;200000,0;SIM;
O;Dep. Henrique Queiroz Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;70025;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENPA;33;41;Vicência;A EMENDA VISA O CUSTEIO DE PROCEDIMENTOS DE MÉDIA E ALTA COMPLEXIDADE PELAS UNIDADES DE SAÚDE DO MUNICIPIO.;200000,0;SIM;
O;Dep. Henrique Queiroz Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;70027;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENPC;33;41;Tracunhaém;A EMENDA VISA O CUSTEIO DE PROCEDIMENTOS DE MÉDIA E ALTA COMPLEXIDADE PELAS UNIDADES DE SAÚDE DO MUNICIPIO.;300000,0;SIM;
O;Dep. Henrique Queiroz Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;70026;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENPB;33;41;Tracunhaém;A EMENDA VISA O CUSTEIO DE PROCEDIMENTOS DE MÉDIA E ALTA COMPLEXIDADE PELAS UNIDADES DE SAÚDE DO MUNICIPIO.;200000,0;SIM;
