OD;AUTOR;UO;NUMERO;CODACAO;NOMEACAO;SUBACAO;GD;MA;MUNICIPIO;OBJETO;VALOR;EMALTERACAO;INSTRUMENTO
O;Dep. Renato Antunes;Fundo Estadual de Defesa dos Direitos da Criança e do Adolescente;50100;146;Apoio às Ações de Atendimento à Criança e ao Adolescente;ENLA;44;50;Recife;Destina-se ao acolhimento de crianças e adolescentes, com a promoção de cursos de informática, esportes, reforço escolar, através Instituto DRACMA DO BRASIL inscrito no CNPJ: 56.303.012/0001-40.;50000,0;SIM;
D;Dep. Jarbas Filho;Fundo Estadual de Defesa dos Direitos da Criança e do Adolescente;80062;146;Apoio às Ações de Atendimento à Criança e ao Adolescente;;33;50;Recife;Manutenção do Canto Coral do Caixa de Natal, executada pelo Centro de Estudos e Ações em Direitos Humanos - A COLHER, CNPJ nº 07.817.329/0001-99, que utiliza a música como transformação social de 40 crianças em situação de vulnerabilidade e abandono nas comunidades do grande Recife. ;50000,0;SIM;
O;Dep. Abimael Santos;Secretaria de Assistência Social, Combate à Fome e Políticas sobre Drogas - Administração Direta;133;2013;Implantação e Reforma dos Equipamentos e Serviços Sociais;EMBI;44;50;Abreu e Lima;A presente Emenda no valor de R$ 200.000,00 (duzentos mil reais), para ser aplicada na Associação Evangélica Novas da Paz, CNPJ 05.469.914/0001-10, na reforma e ampliação da sede e dos anexos.;200000,0;SIM;
D;Dep. Abimael Santos;Secretaria de Assistência Social, Combate à Fome e Políticas sobre Drogas - Administração Direta;80016;2013;Implantação e Reforma dos Equipamentos e Serviços Sociais;;44;50;Abreu e Lima;A presente Emenda no valor de R$ 200.000,00 (duzentos mil reais), para ser aplicada na ARCA MISSIONARIA INSTITUTO –AMI  CNPJ 05.469.914/0001-10, na reforma e ampliação da sede e dos anexos.;200000,0;SIM;
O;Dep. Nino de Enoque;Fundo Estadual de Saúde - FES-PE - Administração Direta;10122;2393;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Própria sob Gestão Estadual;EN68;44;50;Moreno;Visa melhorar a saúde da população do Moreno, inscrito sobre o CNPJ Instituto de Gestão Social de Pernambuco.;267000,0;SIM;
O;Dep. Nino de Enoque;Fundo Estadual de Saúde - FES-PE - Administração Direta;70013;2393;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Própria sob Gestão Estadual;ENQ6;33;50;Recife;A emenda visa trazer melhorias para o Hospital - Sociedade Hospitalar Beneficiente Maria Vitória -CNJP: 09.107.623/0002-13.  ;128200,0;SIM;
O;Dep. Renato Antunes;Fundo Estadual de Saúde - FES-PE - Administração Direta;80098;2393;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Própria sob Gestão Estadual;;44;90;Recife;Destina-se à aquisição de equipamentos para atuação do Hospital Universitário Oswaldo Cruz (HUOC) é 11.022.597/0013-25, contribuindo para a ampliação e qualificação dos serviços prestados à população em situação de vulnerabilidade social.;17050,0;SIM;
D;Dep. Nino de Enoque;Fundo Estadual de Saúde - FES-PE - Administração Direta;80046;2393;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Própria sob Gestão Estadual;;44;50;Moreno;Visa melhorar a saúde da população de Moreno sobre o CNPJ: 35.667.831/0002-87 - Instituto Gestão Social de PE;267000,0;SIM;
D;Dep. Renato Antunes;Fundo Estadual de Saúde - FES-PE - Administração Direta;80098;2393;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Própria sob Gestão Estadual;;44;90;Recife;Destina-se à aquisição de equipamentos para atuação do Hospital Universitário Oswaldo Cruz (HUOC) é 11.022.597/0013-25, contribuindo para a ampliação e qualificação dos serviços prestados à população em situação de vulnerabilidade social.;100000,0;SIM;
D;Dep. Renato Antunes;Fundo Estadual de Saúde - FES-PE - Administração Direta;80100;2393;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Rede Própria sob Gestão Estadual;;44;90;Recife;Destina-se à aquisição de equipamentos para atuação do HOSPITAL OTAVIO DE FREITAS, inscrito no CNPJ: 10572048000470, contribuindo para a ampliação e qualificação dos serviços prestados à população em situação de vulnerabilidade social.;45250,0;SIM;
O;Dep. Claudiano Martins Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;60079;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENMC;33;41;Manari;A presente emenda visa custear despesas operacionais, locação de carros e  aquisição de insumos que garantam funcionamento adequado dos serviços essenciais do município através do Fundo Municipal de Saúde, CNPJ 11.819.732/0001-24.     ;438200,0;SIM;
O;Dep. Claudiano Martins Filho;Fundo Estadual de Saúde - FES-PE - Administração Direta;60078;2396;Garantia da Oferta de Procedimentos de Média e Alta Complexidade Ambulatorial e Hospitalar - Transferência a Consórcios, Hospitais de ensino, Municípios e União;ENMB;33;41;Exú;A presente emenda visa custear despesas operacionais, locação de carros e  aquisição de insumos que garantam funcionamento adequado dos serviços essenciais do município através do Fundo Municipal CNPJ 09.218.925/0001-88.     ;100000,0;SIM;
